"region","observations"
"north",15.3218633778178
"north",14.4696676400482
"north",14.2364643772482
"north",15.5736918064757
"north",15.8008738648789
"north",15.0292474951109
"north",14.6133475978236
"north",15.0913691811637
"north",15.6477214030991
"north",15.5303250155987
"north",16.7771525160984
"north",16.4459263235142
"north",15.8036663998348
"north",13.9825217967304
"north",15.1619746761654
"north",15.8903081133725
"north",12.949639894013
"north",13.6705989428545
"north",15.5984950716131
"north",15.4812600849308
"north",16.0404789466531
"north",14.2296363150087
"north",15.3692421996052
"north",14.9451133297779
"north",13.5424404720534
"north",16.2867971159713
"north",16.6375191969572
"north",13.9286901453319
"north",15.2661834626079
"north",15.0562176423447
"north",15.5036239675103
"north",14.3112281809559
"north",15.1356829384
"north",14.8042249718165
"north",14.7806674459244
"north",14.2666536028006
"north",15.693228123925
"north",15.4631739944313
"north",14.5023913927368
"north",14.1820164440159
"north",15.0717174514201
"north",15.9137531060072
"north",13.9460053628786
"north",15.6468227771374
"north",14.127826714123
"north",14.6474555398535
"north",15.8113501089936
"north",15.1103035324046
"north",14.4068904177646
"north",14.1798824458411
"north",15.5364840498803
"north",14.4443141518336
"north",13.1239003919958
"north",15.7088037821135
"north",15.3515205447084
"north",14.4411649826752
"north",17.034138814911
"north",14.1033304727736
"north",15.0767700075671
"north",15.3905339557185
"north",15.1933762491498
"north",13.4342482323797
"north",14.5922810850033
"north",15.6647847496403
"north",16.9777541069907
"north",16.2733249142426
"north",13.6485922417351
"north",16.1633271068999
"north",16.7051183037241
"north",15.959522544273
"north",15.0999279977366
"north",16.35655064774
"north",15.0607902312611
"north",15.5426789296151
"north",15.6012411231156
"north",14.5565708320873
"north",15.7641235146765
"north",13.2576831003351
"north",14.9651914752329
"north",15.45687540551
"north",14.4994369665095
"north",15.9289891167195
"north",16.0895655512338
"north",13.7209341104049
"north",15.0264630907732
"north",15.2448510720845
"north",16.4245876988211
"north",14.4985401557976
"north",14.6922730210662
"north",15.9528971382824
"north",15.2985430868832
"north",15.7721254762928
"north",14.2362132112975
"north",16.0882795508623
"north",16.3882940316406
"north",14.0145635165014
"north",15.9127888909843
"north",15.7023118010325
"north",14.7372667175522
"north",14.1463801362993
"north",11.993041182303
"north",12.3045615119456
"north",14.6522528370987
"north",16.6508168937386
"north",13.3416909737109
"north",14.9986838090565
"north",15.3049894543589
"north",16.3739749738449
"north",14.5767506875685
"north",13.9547689120415
"north",15.0367442420501
"north",15.2210556781413
"north",15.6329252510174
"north",14.1689075575273
"north",15.0390853036692
"north",15.6281282879848
"north",14.9001340177111
"north",14.7999451112741
"north",15.3979666656486
"north",13.6070177690292
"north",15.477996844766
"north",15.0237934698375
"north",15.2364468673721
"north",15.1752267224677
"north",15.3319084409495
"north",14.9129386248964
"north",15.1281494584088
"north",16.2190357591881
"north",15.5255939552019
"north",14.555774778255
"north",15.9477823127803
"north",13.4126496857803
"north",14.8434452753399
"north",16.5377087703667
"north",14.1443882846803
"north",16.3884457024275
"north",15.4403563615097
"north",15.1563617771505
"north",15.5357661268836
"north",14.3201774628269
"north",15.5551160204286
"north",14.3807731199725
"north",14.7310692690813
"north",15.7540343186245
"north",15.2531916404886
"north",14.334780615643
"north",16.076733398926
"north",14.2521672474228
"north",14.5870273830367
"north",15.3059746754448
"north",15.0942161532569
"north",13.5882083972577
"north",15.9570614521647
"north",15.6102857951114
"north",14.4380988467029
"north",14.9591557749438
"north",14.5077078958026
"north",12.1496804794994
"north",14.8369264653393
"north",14.5457641140154
"north",12.8704913454996
"north",15.9529174837215
"north",14.5571411518273
"north",14.8921256415544
"north",14.0905249572908
"north",14.6046532100496
"north",15.1381220554652
"north",15.8547371401716
"north",15.8763175819972
"north",15.2063552536544
"north",15.9324479661098
"north",14.7960974258941
"north",15.1636519346609
"north",14.948780996455
"north",15.1790497590107
"north",14.6536749201147
"north",14.8629801735574
"north",13.7045141490663
"north",15.8416196866475
"north",14.3195913759114
"north",15.8886679777699
"north",15.3576390148088
"north",15.1056822904349
"north",14.5737389110719
"north",15.4919738697277
"north",14.8735191797279
"north",14.8840075490653
"north",15.1543837034006
"north",16.2770376018617
"north",14.1747890889078
"north",14.4029499011371
"north",13.4054503580438
"north",15.5693574885479
"north",16.7661152846052
"north",15.4935011004868
"north",13.5361252272285
"north",13.6807346956595
"north",14.5983582052997
"north",15.3849529742816
"north",13.8853529825606
"north",14.7240622012526
"north",16.2189453838322
"north",14.7750442843562
"north",13.8955539544013
"north",14.7967711798936
"north",15.5250287991038
"north",15.661284268876
"north",14.2033810427455
"north",13.7707779050019
"north",15.7274869474063
"north",15.6781270952018
"north",15.0296166823133
"north",13.5112072121556
"north",15.0003962689857
"north",14.3174262975799
"north",14.6020240318679
"north",12.524212698106
"north",15.2608051205847
"north",15.0000152614021
